Qtd_Partidas;Match ID;Patch;Champion;Enemy Champion;Game Start Time;Win Rate %;Kills;Deaths;Assists;KDA;Kill Participation;Total Damage Dealt;Total Damage Taken;Self Mitigated Damage;Gold Earned;Farm/Min;Damage/Min;Gold/Min;Vision Score;Vision Score/Min;Wards Placed;Wards Killed;Control Wards Placed;Damage to Buildings;Damage to Objectives;Turret Plates Taken;Team Damage %;Damage Taken %;First Blood Kill;First Blood Assist;First Tower Kill;First Tower Assist;CC Score;Kills 5';Deaths 5';Assists 5';CS 5';Gold Earned 5';Plates 5';KDA 5';GPM 5';DPM 5';Gold Share 5';Gold Eff 5';CS Diff 5';Gold Diff 5';XP Diff 5';DMG Diff 5';CS aos 6 min;Kills 11';Deaths 11';Assists 11';CS 11';Gold Earned 11';Plates 11';KDA 11';GPM 11';DPM 11';Gold Share 11';Gold Eff 11';CS Diff 11';Gold Diff 11';XP Diff 11';DMG Diff 11';Kills 12';Deaths 12';Assists 12';CS 12';Gold Earned 12';Plates 12';KDA 12';GPM 12';DPM 12';Gold Share 12';Gold Eff 12';CS Diff 12';Gold Diff 12';XP Diff 12';DMG Diff 12';CS aos 12 min;Gold aos 12 min;XP aos 12 min;Deaths até 12min;VPM @12;KDA @12;Kills 14';Deaths 14';Assists 14';CS 14';Gold Earned 14';Plates 14';KDA 14';GPM 14';DPM 14';Gold Share 14';Gold Eff 14';CS Diff 14';Gold Diff 14';XP Diff 14';DMG Diff 14';CS aos 18 min;Kills 20';Deaths 20';Assists 20';CS 20';Gold Earned 20';Plates 20';KDA 20';GPM 20';DPM 20';Gold Share 20';Gold Eff 20';CS Diff 20';Gold Diff 20';XP Diff 20';DMG Diff 20'
1;KR_7958817808;15.24;Urgot;Vladimir;1765441856918;0;1;3;0;0,33;0,12;7934;7849;4967;4627;5,77;514,64;300,13;10;0,65;5;1;0;1002;1002;0;0,26;0,15;0;0;0;0;10;1;1;0;17;1584;0;1,0;316,8;514,64;0,19;1,62;-7;238;120;204,33;22;1;1;0;64;3412;0;1,0;310,18;514,64;0,18;1,66;-26;-38;-172;449,52;1;1;0;69;3618;0;1,0;301,5;514,64;0,18;1,71;-36;-536;-1096;490,37;69;3618;5259;1;7,8;1,0;1;2;0;89;4461;1;0,5;318,64;514,64;0,18;1,62;-29;-522;-1163;572,11;0;1;3;0;0;0;1;0,33;0,0;514,64;0,0;0,0;0;0;0;817,3
1;KR_7958817808;15.24;Qiyana;Talon;1765441856918;0;1;1;2;3,0;0,38;3313;14135;6585;5973;7,85;214,9;387,44;15;0,97;3;0;1;0;9384;0;0,11;0,26;0;0;0;0;5;0;0;1;36;1887;0;0,0;377,4;214,9;0,23;0,57;16;-254;284;-659,02;42;0;0;2;86;4178;0;0,0;379,82;214,9;0,22;0,57;34;-111;834;-1449,86;0;0;2;97;4568;0;0,0;380,67;214,9;0,22;0,56;41;-257;1184;-1581,66;97;4568;5030;0;11,64;0,0;0;0;2;109;5492;0;0,0;392,29;214,9;0,22;0,55;39;-365;896;-1845,28;0;1;1;2;0;0;0;3,0;0,0;214,9;0,0;0,0;0;0;0;-2636,1
1;KR_7958817808;15.24;Ryze;Cassiopeia;1765441856918;0;1;4;1;0,5;0,25;6510;12502;5061;5260;7,33;422,27;341,19;8;0,52;5;1;0;647;647;0;0,21;0,23;0;0;0;0;11;0;1;1;32;1638;0;1,0;327,6;422,27;0,2;1,29;-4;-302;-169;-1997,19;41;0;2;1;81;3542;0;0,5;322,0;422,27;0,19;1,31;-20;-579;-676;-4393,82;0;2;1;90;3818;0;0,5;318,17;422,27;0,19;1,33;-25;-1148;-1400;-4793,26;90;3818;5253;2;6,24;0,5;0;3;1;107;4427;0;0,33;316,21;422,27;0,18;1,34;-31;-2081;-1924;-5592,13;0;1;4;1;0;0;0;0,5;0,0;422,27;0,0;0,0;0;0;0;-7988,75
1;KR_7958817808;15.24;Kaisa;Ezreal;1765441856918;0;0;4;1;0,25;0,12;4027;8041;4460;5311;7,72;261,21;344,5;7;0,45;5;1;0;0;0;0;0,13;0,15;0;0;0;0;0;0;1;0;31;1599;0;0,0;319,8;261,21;0,19;0,82;-6;-171;23;-2505,41;43;0;2;0;92;3665;0;0,0;333,18;261,21;0,19;0,78;5;-387;178;-5511,89;0;2;0;103;4037;0;0,0;336,42;261,21;0,2;0,78;8;-695;258;-6012,97;103;4037;4841;2;5,4;0,0;0;3;1;113;5041;0;0,33;360,07;261,21;0,2;0,73;-1;-800;-422;-7015,14;0;0;4;1;0;0;0;0,25;0,0;261,21;0,0;0,0;0;0;0;-10021,62
1;KR_7958817808;15.24;Elise;Shaco;1765441856918;0;5;5;1;1,2;0,75;8856;11593;3782;5988;1,62;574,44;388,41;47;3,05;22;6;6;0;78;0;0,29;0,21;0;0;0;0;10;1;1;0;8;1522;0;1,0;304,4;574,44;0,18;1,89;4;97;77;1102,71;10;3;2;0;22;4058;0;1,5;368,91;574,44;0,22;1,56;13;896;128;2425,95;3;2;0;23;4299;0;1,5;358,25;574,44;0,21;1,6;13;807;91;2646,49;23;4299;2421;2;36,6;1,5;4;4;0;24;5736;0;1,0;409,71;574,44;0,23;1,4;14;1569;187;3087,57;0;5;5;1;0;0;0;1,2;0,0;574,44;0,0;0,0;0;0;0;4410,81
1;KR_7958817808;15.24;Vladimir;Urgot;1765441856918;1;2;1;1;3,0;0,18;7304;10398;4507;5758;8,63;473,77;373,49;10;0,65;4;2;0;348;348;0;0,17;0,21;0;0;0;0;1;0;1;0;24;1346;0;0,0;269,2;473,77;0,16;1,76;7;-238;-120;-204,33;38;0;1;0;90;3450;0;0,0;313,64;473,77;0,18;1,51;26;38;172;-449,52;0;1;0;105;4154;0;0,0;346,17;473,77;0,19;1,37;36;536;1096;-490,37;105;4154;6355;1;7,8;0,0;1;1;0;118;4983;1;1,0;355,93;473,77;0,18;1,33;29;522;1163;-572,11;0;2;1;1;0;0;1;3,0;0,0;473,77;0,0;0,0;0;0;0;-817,3
1;KR_7958817808;15.24;Talon;Qiyana;1765441856918;1;4;2;3;3,5;0,41;5345;14052;5876;6337;5,32;346,7;411,05;13;0,84;7;0;2;0;5346;0;0,13;0,29;0;0;0;0;2;2;0;0;20;2141;0;0,0;428,2;346,7;0,25;0,81;-16;254;-284;659,02;28;3;1;1;52;4289;0;4,0;389,91;346,7;0,22;0,89;-34;111;-834;1449,86;3;1;1;56;4825;0;4,0;402,08;346,7;0,22;0,86;-41;257;-1184;1581,66;56;4825;3846;1;10,08;4,0;4;1;2;70;5857;0;6,0;418,36;346,7;0,21;0,83;-39;365;-896;1845,28;0;4;2;3;0;0;0;3,5;0,0;346,7;0,0;0,0;0;0;0;2636,1
1;KR_7958817808;15.24;Cassiopeia;Ryze;1765441856918;1;5;2;1;3,0;0,35;12668;11051;4243;7211;9,41;821,71;467,74;10;0,65;8;1;3;449;449;0;0,3;0,22;0;0;0;0;16;1;1;0;36;1940;0;1,0;388,0;821,71;0,23;2,12;4;302;169;1997,19;45;1;1;1;101;4121;0;2,0;374,64;821,71;0,22;2,19;20;579;676;4393,82;1;1;1;115;4966;0;2,0;413,83;821,71;0,22;1,99;25;1148;1400;4793,26;115;4966;6653;1;7,8;2,0;2;1;1;138;6508;0;3,0;464,86;821,71;0,24;1,77;31;2081;1924;5592,13;0;5;2;1;0;0;1;3,0;0,0;821,71;0,0;0,0;0;0;0;7988,75
1;KR_7958817808;15.24;Ezreal;Kaisa;1765441856918;1;4;1;4;8,0;0,47;11752;7321;3162;6503;8,17;762,29;421,82;8;0,52;5;0;0;1871;4340;0;0,28;0,15;0;1;0;0;0;0;0;2;37;1770;0;0,0;354,0;762,29;0,21;2,15;6;171;-23;2505,41;43;1;1;3;87;4052;0;4,0;368,36;762,29;0,21;2,07;-5;387;-178;5511,89;1;1;3;95;4732;0;4,0;394,33;762,29;0,21;1,93;-8;695;-258;6012,97;95;4732;4583;1;6,24;4,0;3;1;4;114;5841;0;7,0;417,21;762,29;0,21;1,83;1;800;422;7015,14;0;4;1;4;0;0;0;8,0;0,0;762,29;0,0;0,0;0;0;0;10021,62
1;KR_7958817808;15.24;Shaco;Elise;1765441856918;1;2;2;6;4,0;0,47;5456;6361;1921;4466;0,97;353,9;289,69;24;1,56;10;4;1;0;442;0;0,13;0,13;1;0;0;0;17;1;0;1;4;1425;0;0,0;285,0;353,9;0,17;1,24;-4;-97;-77;-1102,71;4;2;0;3;9;3162;0;0,0;287,45;353,9;0,17;1,23;-13;-896;-128;-2425,95;2;0;3;10;3492;0;0,0;291,0;353,9;0,16;1,22;-13;-807;-91;-2646,49;10;3492;2330;0;18,72;0,0;2;1;6;10;4167;0;8,0;297,64;353,9;0,15;1,19;-14;-1569;-187;-3087,57;0;2;2;6;0;0;0;4,0;0,0;353,9;0,0;0,0;0;0;0;-4410,81
