Qtd_Partidas;Match ID;Patch;Champion;Enemy Champion;Game Start Time;Win Rate %;Kills;Deaths;Assists;KDA;Kill Participation;Total Damage Dealt;Total Damage Taken;Self Mitigated Damage;Gold Earned;Farm/Min;Damage/Min;Gold/Min;Vision Score;Vision Score/Min;Wards Placed;Wards Killed;Control Wards Placed;Damage to Buildings;Damage to Objectives;Turret Plates Taken;Team Damage %;Damage Taken %;First Blood Kill;First Blood Assist;First Tower Kill;First Tower Assist;CC Score;Kills 5';Deaths 5';Assists 5';CS 5';Gold Earned 5';Plates 5';KDA 5';GPM 5';DPM 5';Gold Share 5';Gold Eff 5';CS Diff 5';Gold Diff 5';XP Diff 5';DMG Diff 5';CS aos 6 min;Kills 11';Deaths 11';Assists 11';CS 11';Gold Earned 11';Plates 11';KDA 11';GPM 11';DPM 11';Gold Share 11';Gold Eff 11';CS Diff 11';Gold Diff 11';XP Diff 11';DMG Diff 11';Kills 12';Deaths 12';Assists 12';CS 12';Gold Earned 12';Plates 12';KDA 12';GPM 12';DPM 12';Gold Share 12';Gold Eff 12';CS Diff 12';Gold Diff 12';XP Diff 12';DMG Diff 12';CS aos 12 min;Gold aos 12 min;XP aos 12 min;Deaths até 12min;VPM @12;KDA @12;Kills 14';Deaths 14';Assists 14';CS 14';Gold Earned 14';Plates 14';KDA 14';GPM 14';DPM 14';Gold Share 14';Gold Eff 14';CS Diff 14';Gold Diff 14';XP Diff 14';DMG Diff 14';CS aos 18 min;Kills 20';Deaths 20';Assists 20';CS 20';Gold Earned 20';Plates 20';KDA 20';GPM 20';DPM 20';Gold Share 20';Gold Eff 20';CS Diff 20';Gold Diff 20';XP Diff 20';DMG Diff 20'
1;KR_8016739000;16.1;Camille;Renekton;1767926353850;0;3;11;8;1,0;0,3;26695;52498;60220;14593;5,01;592,34;323,81;38;0,84;17;3;1;6044;7840;0;0,13;0,27;0;0;0;0;26;1;1;0;27;1803;0;1,0;360,6;592,34;0,21;1,64;-7;-130;-17;-2667,5;33;1;2;1;58;3290;0;1,0;299,09;592,34;0,16;1,98;-36;-1778;-1500;-5868,49;1;2;1;59;3520;0;1,0;293,33;592,35;0,16;2,02;-42;-2169;-2452;-6401,98;59;3520;5205;2;10,08;1,0;1;3;2;76;4365;0;1,0;311,79;592,35;0,16;1,9;-46;-2415;-2118;-7468,97;98;2;4;2;115;6264;0;1,0;313,2;592,34;0,16;1,89;-81;-4337;-3430;-10669,97
1;KR_8016739000;16.1;Karthus;Ivern;1767926353850;0;10;8;15;3,12;0,68;63581;43930;33327;21067;7,39;1410,82;467,46;43;0,95;6;10;4;3654;51909;0;0,31;0,23;0;0;0;0;65;0;0;0;36;1731;0;0,0;346,2;1410,82;0,2;4,08;10;92;261;5777,78;41;2;1;0;80;4270;0;2,0;388,18;1410,82;0,21;3,63;9;626;114;12711,1;2;1;2;92;5092;0;4,0;424,33;1410,82;0,23;3,32;10;1029;317;13866,65;92;5092;5105;1;11,4;4,0;3;1;2;108;5774;1;5,0;412,43;1410,82;0,22;3,42;8;801;120;16177,76;145;3;3;5;158;8551;1;2,67;427,55;1410,82;0,21;3,3;22;1101;981;23111,09
1;KR_8016739000;16.1;Syndra;Yone;1767926353850;0;5;5;8;2,6;0,35;47344;28877;14825;18062;7,81;1050,53;400,78;46;1,02;18;6;1;2994;5183;0;0,23;0,15;0;0;0;0;107;0;0;0;35;1657;0;0,0;331,4;1050,53;0,19;3,17;-4;-50;29;911,31;48;0;0;0;101;3956;0;0,0;359,64;1050,53;0,19;2,92;0;321;586;2004,9;1;0;0;113;4394;0;0,0;366,17;1050,53;0,2;2,87;-2;246;598;2187,16;113;4394;6738;0;12,24;0,0;1;0;1;136;5064;0;0,0;361,71;1050,53;0,19;2,9;-2;-170;604;2551,69;175;1;1;1;203;7407;0;2,0;370,35;1050,53;0,19;2,84;4;-658;476;3645,27
1;KR_8016739000;16.1;Yunara;Aphelios;1767926353850;0;9;7;16;3,57;0,68;50061;39406;35343;24511;8,72;1110,82;543,88;39;0,87;17;12;2;11254;25874;0;0,24;0,2;0;1;0;0;30;0;0;1;35;1889;0;0,0;377,8;1110,82;0,22;2,94;-3;191;151;1524,86;51;1;0;2;92;4608;1;0,0;418,91;1110,82;0,23;2,65;16;1157;-20;3354,67;1;1;3;103;5085;1;4,0;423,75;1110,82;0,23;2,62;25;1481;673;3659,64;103;5085;4342;1;10,44;4,0;2;1;3;123;6292;1;5,0;449,43;1110,82;0,24;2,47;30;2095;1175;4269,58;172;3;1;4;188;10140;6;7,0;507,0;1110,82;0,25;2,19;53;3234;2901;6099,41
1;KR_8016739000;16.1;Pyke;Leona;1767926353850;0;10;5;16;5,2;0,7;19514;27741;19396;14574;0,75;433,0;323,39;169;3,75;81;18;19;195;600;0;0,09;0,14;1;0;0;0;55;1;0;0;3;1681;0;0,0;336,2;433,0;0,19;1,29;-3;447;-6;263,38;4;2;0;2;13;4246;0;0,0;386,0;433,0;0,21;1,12;-3;1300;1084;579,45;4;0;3;14;4409;0;0,0;367,42;433,0;0,2;1,18;-3;1296;1134;632,13;14;4409;4199;0;45,0;0,0;4;0;3;20;5059;0;0,0;361,36;433,0;0,19;1,2;-4;1444;608;737,48;23;6;1;4;23;7475;0;10,0;373,75;433,0;0,19;1,16;-8;2371;1009;1053,55
1;KR_8016739000;16.1;Renekton;Camille;1767926353850;1;17;5;7;4,8;0,67;50738;75202;135979;24433;8,3;1125,84;542,15;49;1,09;8;10;3;11571;13612;0;0,33;0,31;0;0;1;0;46;1;1;0;34;1933;0;1,0;386,6;1125,84;0,24;2,91;7;130;17;2667,5;42;3;1;0;94;5068;2;3,0;460,73;1125,84;0,27;2,44;36;1778;1500;5868,49;3;1;0;101;5689;3;3,0;474,08;1125,84;0,28;2,37;42;2169;2452;6401,98;101;5689;7657;1;13,08;3,0;4;2;0;122;6780;4;2,0;484,29;1125,84;0,27;2,32;46;2415;2118;7468,97;168;7;2;0;196;10601;4;3,5;530,05;1125,84;0,28;2,12;81;4337;3430;10669,97
1;KR_8016739000;16.1;Ivern;Karthus;1767926353850;1;0;4;19;4,75;0,53;11504;24849;15920;16404;5,26;255,27;363,99;70;1,55;19;16;3;1807;40954;0;0,07;0,1;0;0;0;0;45;0;0;0;26;1639;0;0,0;327,8;255,27;0,2;0,78;-10;-92;-261;-5777,78;34;0;1;0;71;3644;0;0,0;331,27;255,27;0,19;0,77;-9;-626;-114;-12711,1;0;1;0;82;4063;0;0,0;338,58;255,27;0,2;0,75;-10;-1029;-317;-13866,65;82;4063;4788;1;18,6;0,0;0;1;0;100;4973;0;0,0;355,21;255,27;0,2;0,72;-8;-801;-120;-16177,76;116;0;1;5;136;7450;0;5,0;372,5;255,27;0,2;0,69;-22;-1101;-981;-23111,09
1;KR_8016739000;16.1;Yone;Syndra;1767926353850;1;11;7;4;2,14;0,42;39130;57936;69405;22446;9,5;868,27;498,06;55;1,22;19;4;7;10013;29660;0;0,25;0,24;0;0;0;0;29;0;0;0;39;1707;0;0,0;341,4;868,27;0,21;2,54;4;50;-29;-911,31;53;0;0;0;101;3635;0;0,0;330,45;868,27;0,19;2,63;0;-321;-586;-2004,9;0;1;0;115;4148;0;0,0;345,67;868,27;0,2;2,51;2;-246;-598;-2187,16;115;4148;6140;1;14,64;0,0;0;1;0;138;5234;1;0,0;373,86;868,27;0,21;2,32;2;170;-604;-2551,69;180;2;2;1;199;8065;2;1,5;403,25;868,27;0,21;2,15;-4;658;-476;-3645,27
1;KR_8016739000;16.1;Aphelios;Yunara;1767926353850;1;7;11;3;0,91;0,28;36317;34235;23639;21661;8,08;805,85;480,64;47;1,04;17;12;2;7308;36033;0;0,23;0,14;0;0;0;0;17;0;0;0;38;1698;0;0,0;339,6;805,85;0,21;2,37;3;-191;-151;-1524,86;47;0;2;0;76;3451;1;0,0;313,73;805,85;0,18;2,57;-16;-1157;20;-3354,67;0;3;1;78;3604;1;0,33;300,33;805,85;0,17;2,68;-25;-1481;-673;-3659,64;78;3604;3669;3;12,48;0,33;0;4;1;93;4197;1;0,25;299,79;805,85;0,17;2,69;-30;-2095;-1175;-4269,58;124;0;6;2;135;6906;1;0,33;345,3;805,85;0,18;2,33;-53;-3234;-2901;-6099,41
1;KR_8016739000;16.1;Leona;Pyke;1767926353850;1;1;10;12;1,3;0,36;17140;48479;66970;11967;0,91;380,33;265,54;113;2,51;48;10;4;179;2111;0;0,11;0,2;0;0;0;0;55;0;1;0;6;1234;0;0,0;246,8;380,33;0,15;1,54;3;-447;6;-263,38;6;0;2;0;16;2946;0;0,0;267,82;380,33;0,16;1,42;3;-1300;-1084;-579,45;1;3;0;17;3113;0;0,33;259,42;380,33;0,15;1,47;3;-1296;-1134;-632,13;17;3113;3065;3;30,12;0,33;1;3;0;24;3615;0;0,33;258,21;380,33;0,15;1,47;4;-1444;-608;-737,48;30;1;4;2;31;5104;0;0,75;255,2;380,33;0,13;1,49;8;-2371;-1009;-1053,55
